Local time in New York / La Guardia (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.09.2018 20:00,20.6,766.8,767.8,0.8,70,Wind blowing from the south,5,,,100%., ,,,18.9,22.8,,,600-1000,,,16,15,,,,,,
20.09.2018 17:00,22.2,766,766.9,-0.8,61,Wind blowing from the south,4,,,70 – 80%., ,,,,,,,600-1000,,,16,14.4,,,,,,
20.09.2018 14:00,21.7,766.8,767.8,0,61,Wind blowing from the north-east,4,,,100%., ,,,18.9,21.7,,,600-1000,,,16,13.9,,,,,,
20.09.2018 11:00,20.6,766.8,767.8,1,63,Wind blowing from the north-east,3,,,100%., ,,,,,,,1000-1500,,,16,13.3,,,,,,
20.09.2018 08:00,18.9,765.8,766.9,2,70,Wind blowing from the east-northeast,4,,,100%., ,,,18.9,27.8,,,600-1000,,,16,13.3,,,,,,
20.09.2018 05:00,18.9,763.8,764.8,0.8,73,Wind blowing from the east,4,,,100%., ,,,,,,,600-1000,,,16,13.9,,,,,,
20.09.2018 02:00,20,763,764.1,0.8,76,Wind blowing from the east,6,,,100%., ,,,20,23.3,,,300-600,,,16,15.6,Trace of precipitation,6,,,,
19.09.2018 23:00,22.2,762.2,763.1,2,76,Wind blowing from the south-east,3,,,100%., ,,,,,,,300-600,,,16,17.8,,,,,,
19.09.2018 20:00,23.3,760.2,761.2,1.5,79,Wind blowing from the south-southeast,4,,,70 – 80%., ,,,22.2,27.8,,,300-600,,,16,19.4,,,,,,
19.09.2018 17:00,26.1,758.7,759.7,0.2,65,Wind blowing from the east-northeast,5,,,50%., ,,,,,,,1000-1500,,,16,18.9,,,,,,
19.09.2018 14:00,26.7,758.5,759.5,0.3,60,Wind blowing from the east-northeast,4,,,70 – 80%., ,,,22.2,27.2,,,1500-2000,,,16,18.3,,,,,,
19.09.2018 11:00,25.6,758.2,759.3,1,67,Wind blowing from the east-northeast,5,,,50%., ,,,,,,,600-1000,,,16,18.9,,,,,,
19.09.2018 08:00,22.8,757.2,758.2,1.6,79,Wind blowing from the north,3,,,20–30%., ,,,22.2,,,,"2500 or more, or no clouds.",,,16,18.9,,,,,,
19.09.2018 05:00,22.8,755.6,756.6,0.2,79,Wind blowing from the north-northeast,2,,,no clouds, ,,,,,,,,,,16,18.9,,,,,,
19.09.2018 02:00,23.3,755.4,756.3,0.2,82,Wind blowing from the north-west,2,,,no clouds, ,,,22.8,25.6,,,,,,16,20,,,,,,
18.09.2018 23:00,23.3,755.2,756.2,0,85,Wind blowing from the north-west,2,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,20.6,,,,,,
18.09.2018 20:00,22.8,755.2,756.2,0.6,87,Wind blowing from the east-northeast,2,,,no clouds, ,,,22.2,28.3,,,,,,16,20.6,10,6,,,,
18.09.2018 17:00,22.2,754.6,755.5,0.7,87,Wind blowing from the north-east,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,16,20,10,3,,,,
18.09.2018 14:00,24.4,753.9,754.9,-0.7,88,Wind blowing from the south-southwest,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,23.9,28.3,,,600-1000,,,12,22.2,40,6,,,,
18.09.2018 11:00,28.3,754.6,755.5,-0.6,74,Wind blowing from the south-west,7,11,,70 – 80%., ,,,,,,,300-600,,,16,23.3,1,3,,,,
18.09.2018 08:00,25.6,755.2,756.1,-0.7,85,Wind blowing from the south,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,24.4,26.7,,,300-600,,,9,22.8,0.3,6,,,,
18.09.2018 05:00,25,755.9,756.7,-1.5,85,Wind blowing from the south,5,,,100%., ,,,,,,,300-600,,,16,22.2,,,,,,
18.09.2018 02:00,24.4,757.4,758.4,-1.8,88,Wind blowing from the south,7,10,,100%., ,,,,25,,,300-600,,,16,22.2,Trace of precipitation,6,,,,
17.09.2018 23:00,25,759.2,760.2,-1,74,Wind blowing from the south,5,,,100%., ,,,,,,,600-1000,,,16,20,Trace of precipitation,3,,,,
17.09.2018 20:00,25,760.2,761.3,-1.3,74,Wind blowing from the south-southeast,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,21.7,26.7,,,600-1000,,,16,20,Trace of precipitation,6,,,,
17.09.2018 17:00,25,761.5,762.4,-1.2,82,Wind blowing from the south-southeast,6,,,70 – 80%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,300-600,,,16,21.7,Trace of precipitation,3,,,,
17.09.2018 14:00,26.1,762.7,763.9,-1.5,77,Wind blowing from the south,6,,,70 – 80%., ,,,22.2,26.1,,,300-600,,,16,21.7,1,6,,,,
17.09.2018 11:00,24.4,764.2,765.2,-0.9,79,,2,,,100%., ,,,,,,,300-600,,,16,20.6,,,,,,
17.09.2018 08:00,22.2,765.1,766,0,84,Wind blowing from the south-southeast,2,,,70 – 80%., ,,,21.7,,,,300-600,,,16,19.4,,,,,,
17.09.2018 05:00,22.2,765.1,766,-0.7,82,"Calm, no wind",0,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,18.9,,,,,,
17.09.2018 02:00,22.8,765.8,766.6,0,79,Wind blowing from the south,3,,,70 – 80%., ,,,21.1,24.4,,,"2500 or more, or no clouds.",,,16,18.9,,,,,,
16.09.2018 23:00,23.3,765.8,766.9,0.3,71,Wind blowing from the south,3,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,17.8,,,,,,
16.09.2018 20:00,24.4,765.5,766.4,0.2,67,Wind blowing from the south,4,,,50%., ,,,21.1,30,,,"2500 or more, or no clouds.",,,16,17.8,,,,,,
16.09.2018 17:00,28.3,765.3,766.2,-0.5,53,Wind blowing from the south-southeast,5,7,,20–30%., ,,,,,,,1500-2000,,,16,17.8,,,,,,
16.09.2018 14:00,29.4,765.8,766.7,-0.8,46,Wind blowing from the north-northeast,2,,,50%., ,,,22.2,29.4,,,1500-2000,,,16,16.7,,,,,,
16.09.2018 11:00,26.7,766.6,767.5,0.3,60,"Calm, no wind",0,,,20–30%., ,,,,,,,1000-1500,,,16,18.3,,,,,,
16.09.2018 08:00,22.2,766.3,767.2,0.8,82,"Calm, no wind",0,,,20–30%., ,,,21.1,,,,300-600,,,16,18.9,,,,,,
16.09.2018 05:00,21.7,765.5,766.6,0,79,"Calm, no wind",0,,,20–30%., ,,,,,,,600-1000,,,16,17.8,,,,,,
16.09.2018 02:00,21.7,765.5,766.6,-0.3,79,"Calm, no wind",0,,,20–30%., ,,,20.6,22.8,,,300-600,,,16,17.8,,,,,,
15.09.2018 23:00,22.2,765.8,766.7,0.5,71,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,16,16.7,,,,,,
15.09.2018 20:00,22.8,765.3,766.3,0,71,Wind blowing from the south,3,,,20–30%., ,,,20.6,27.8,,,1000-1500,,,16,17.2,,,,,,
15.09.2018 17:00,26.7,765.3,766.3,-0.2,60,Wind blowing from the south,5,,,50%., ,,,,,,,1000-1500,,,16,18.3,,,,,,
15.09.2018 14:00,27.2,765.5,766.6,-1.1,57,Wind blowing from the north-east,2,,,70 – 80%., ,,,21.7,27.2,,,600-1000,,,16,17.8,,,,,,
15.09.2018 11:00,24.4,766.6,767.5,0.3,69,Wind blowing from the north-northeast,3,,,70 – 80%., ,,,,,,,300-600,,,16,18.3,,,,,,
15.09.2018 08:00,21.7,766.3,767.2,1,84,Wind blowing from the north-northeast,2,,,70 – 80%., ,,,20.6,25,,,200-300,,,16,18.9,,,,,,
15.09.2018 05:00,20.6,765.3,766.3,-0.5,84,Wind blowing from the east,3,,,20–30%., ,,,,,,,600-1000,,,16,17.8,,,,,,
15.09.2018 02:00,21.7,765.8,766.7,-0.5,79,Wind blowing from the east-southeast,3,,,20–30%., ,,,21.1,23.9,,,600-1000,,,16,17.8,,,,,,
14.09.2018 23:00,22.8,766.3,767.4,0.3,71,Wind blowing from the east,3,,,100%., ,,,,,,,600-1000,,,16,17.2,,,,,,
14.09.2018 20:00,23.3,766,766.9,0.2,71,Wind blowing from the south,3,,,100%., ,,,21.1,25,,,600-1000,,,16,17.8,,,,,,
14.09.2018 17:00,23.3,765.8,766.9,-1,74,Wind blowing from the north-east,6,,,100%., ,,,,,,,600-1000,,,16,18.3,,,,,,
14.09.2018 14:00,23.9,766.8,767.7,-0.5,74,Wind blowing from the north-east,7,,,100%., ,,,21.7,24.4,,,600-1000,,,16,18.9,,,,,,
14.09.2018 11:00,22.8,767.3,768.2,0.2,79,Wind blowing from the north-east,6,,,100%., ,,,,,,,200-300,,,16,18.9,,,,,,
14.09.2018 08:00,22.2,767.1,768,0.5,82,Wind blowing from the north-east,6,,,100%., ,,,21.1,25,,,200-300,,,16,18.9,Trace of precipitation,6,,,,
14.09.2018 05:00,21.7,766.6,767.6,-0.2,84,Wind blowing from the east,5,,,100%., ,,,,,,,300-600,,,16,18.9,Trace of precipitation,3,,,,
14.09.2018 02:00,21.7,766.8,767.8,0,81,Wind blowing from the east,5,,,100%., ,,,21.1,23.3,,,600-1000,,,16,18.3,,,,,,
13.09.2018 23:00,22.2,766.8,767.7,-0.3,84,Wind blowing from the east-northeast,4,,,100%., ,,,,,,,300-600,,,16,19.4,,,,,,
13.09.2018 20:00,23.3,767.1,767.9,0.3,79,Wind blowing from the east-northeast,5,,,100%., ,,,21.1,25,,,300-600,,,16,19.4,,,,,,
13.09.2018 17:00,24.4,766.8,767.8,-0.5,77,Wind blowing from the east-northeast,6,,,100%., ,,,,,,,300-600,,,16,20,,,,,,
13.09.2018 14:00,24.4,767.3,768.3,-0.5,74,Wind blowing from the north-east,5,,,100%., ,,,21.7,25,,,300-600,,,16,19.4,,,,,,
13.09.2018 11:00,22.2,767.8,769,0.3,84,Wind blowing from the east-northeast,7,,,100%., ,,,,,,,200-300,,,16,19.4,,,,,,
13.09.2018 08:00,22.2,767.5,768.4,0.7,84,Wind blowing from the north-east,5,,,100%., ,,,21.1,25.6,,,200-300,,,16,19.4,4,6,,,,
13.09.2018 05:00,21.7,766.8,767.8,0,90,Wind blowing from the north-east,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,100-200,,,9,20,4,3,,,,
13.09.2018 02:00,22.2,766.8,767.8,0,94,Wind blowing from the east-northeast,5,,,100%.,Mist. ,,,22.2,23.9,,,100-200,,,1.6,21.1,0.3,6,,,,
12.09.2018 23:00,22.8,766.8,767.8,0.2,90,Wind blowing from the east-northeast,5,,,100%.,Mist. ,,,,,,,100-200,,,3.2,21.1,0.3,3,,,,
12.09.2018 20:00,23.3,766.6,767.5,0.6,91,Wind blowing from the east-northeast,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,22.2,25.6,,,100-200,,,16,21.7,2,6,,,,
12.09.2018 17:00,24.4,766,767.1,-0.6,88,Wind blowing from the north-east,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1500-2000,,,16,22.2,Trace of precipitation,3,,,,
12.09.2018 14:00,23.9,766.6,767.5,-0.2,90,Wind blowing from the north-east,4,,,100%.,Mist. ,,,21.7,23.9,,,100-200,,,3.2,22.2,Trace of precipitation,6,,,,
12.09.2018 11:00,23.3,766.8,767.7,0.8,94,Wind blowing from the east-northeast,3,,,100%.,Mist. ,,,,,,,50-100,,,1.6,22.2,,,,,,
12.09.2018 08:00,22.8,766,767.2,0.7,94,Wind blowing from the north-east,3,,,100%.,Fog or ice fog in patches. ,,,22.2,23.9,,,50-100,,,0.4,21.7,0.8,6,,,,
12.09.2018 05:00,22.2,765.3,766.3,0.2,94,"Calm, no wind",0,,,100%.,Mist. ,,,,,,,50-100,,,4.8,21.1,0.8,3,,,,
12.09.2018 02:00,22.8,765.1,766,0.3,90,Wind blowing from the east-northeast,2,,,100%., ,,,,23.9,,,100-200,,,16,21.1,Trace of precipitation,6,,,,
11.09.2018 23:00,22.8,764.8,765.8,0.6,87,Wind blowing from the east-northeast,2,,,100%., ,,,,,,,200-300,,,16,20.6,Trace of precipitation,3,,,,
11.09.2018 20:00,23.3,764.2,765.4,0.4,85,Wind blowing from the east,2,,,100%., ,,,17.8,23.9,,,600-1000,,,16,20.6,Trace of precipitation,6,,,,
11.09.2018 17:00,23.9,763.8,764.8,-0.7,82,Wind blowing from the east-northeast,3,,,100%., ,,,,,,,200-300,,,11,20.6,Trace of precipitation,3,,,,
11.09.2018 14:00,22.2,764.5,765.5,0,84,Wind blowing from the north-northeast,2,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,17.2,22.2,,,200-300,,,11,19.4,0.5,6,,,,
11.09.2018 11:00,20,764.5,765.4,0.7,90,Wind blowing from the north-east,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,50-100,,,1.6,18.3,0.3,3,,,,
11.09.2018 08:00,18.3,763.8,764.8,1.1,93,Wind blowing from the north-northeast,2,,,100%.,Mist. ,,,17.8,19.4,,,50-100,,,0.8,17.2,0.3,6,,,,
11.09.2018 05:00,17.8,762.7,763.7,-0.3,93,Wind blowing from the north,3,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,,,,100-200,,,9,16.7,0.3,3,,,,
11.09.2018 02:00,17.8,763,763.9,-0.8,93,Wind blowing from the north-northeast,4,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",,,,19.4,,,100-200,,,6,16.7,3,6,,,,
10.09.2018 23:00,18.3,763.8,764.7,0,90,Wind blowing from the north-east,7,12,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,100-200,,,9,16.7,2,3,,,,
10.09.2018 20:00,17.8,763.8,764.8,-1,90,Wind blowing from the north-northeast,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,18.9,,,200-300,,,4.8,16.1,8,6,,,,
10.09.2018 17:00,17.2,764.8,765.7,-1,87,Wind blowing from the north-east,4,,,100%.,"Rain, not freezing, continuous, heavy at time of observation. ",,,,,,,200-300,,,3.2,15,6,3,,,,
10.09.2018 14:00,17.2,765.8,766.7,-0.5,90,Wind blowing from the east,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,16.1,17.8,,,200-300,,,4,15.6,5,6,,,,
10.09.2018 11:00,17.8,766.3,767.2,0.3,84,Wind blowing from the east-northeast,7,10,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,200-300,,,8,15,0.8,3,,,,
10.09.2018 08:00,16.7,766,767.1,-0.3,86,Wind blowing from the east-northeast,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,13.9,18.9,,,200-300,,,8,14.4,8,6,,,,
10.09.2018 05:00,15,766.3,767.2,-0.8,83,Wind blowing from the east,6,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,300-600,,,11,12.2,6,3,,,,
10.09.2018 02:00,15,767.1,768.1,-0.4,69,Wind blowing from the east-northeast,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,14.4,17.8,,,1000-1500,,,16,9.4,2,6,,,,
09.09.2018 23:00,15.6,767.5,768.6,1.2,75,Wind blowing from the east,8,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,"2500 or more, or no clouds.",,,16,11.1,0.3,3,,,,
09.09.2018 20:00,16.7,766.3,767.2,0.5,80,Wind blowing from the east-northeast,8,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,15,18.9,,,300-600,,,16,13.3,3,6,,,,
09.09.2018 17:00,17.8,765.8,766.8,-0.8,81,Wind blowing from the east-northeast,9,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1000-1500,,,16,14.4,1,3,,,,
09.09.2018 14:00,17.2,766.6,767.5,-0.2,78,Wind blowing from the east-northeast,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,15.6,17.8,,,300-600,,,12,13.3,2,6,,,,
09.09.2018 11:00,16.7,766.8,767.7,0.8,75,Wind blowing from the east-northeast,8,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,300-600,,,16,12.2,0.3,3,,,,
09.09.2018 08:00,15.6,766,767,0.5,72,Wind blowing from the north-northeast,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,15,22.8,,,600-1000,,,16,10.6,0.5,6,,,,
09.09.2018 05:00,15.6,765.5,766.4,0.4,67,Wind blowing from the north-northeast,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,"2500 or more, or no clouds.",,,16,9.4,Trace of precipitation,3,,,,
09.09.2018 02:00,17.8,765.1,766.1,0,60,Wind blowing from the north-northeast,6,,,100%., ,,,17.2,22.2,,,600-1000,,,16,10,Trace of precipitation,6,,,,
08.09.2018 23:00,17.8,765.1,766.1,0.3,73,Wind blowing from the north-northeast,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,300-600,,,16,12.8,Trace of precipitation,3,,,,
08.09.2018 20:00,18.3,764.8,765.7,0.8,78,Wind blowing from the north-northeast,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,18.3,22.8,,,1000-1500,,,16,14.4,0.3,6,,,,
08.09.2018 17:00,20,764,765,0,57,Wind blowing from the north-east,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,1000-1500,,,16,11.1,Trace of precipitation,3,,,,
08.09.2018 14:00,21.7,764,765.1,0,51,Wind blowing from the north-east,6,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,20,22.8,,,600-1000,,,16,11.1,Trace of precipitation,6,,,,
08.09.2018 11:00,22.2,764,765,0.5,52,Wind blowing from the north-east,7,,,70 – 80%., ,,,,,,,1500-2000,,,16,11.7,Trace of precipitation,3,,,,
08.09.2018 08:00,20.6,763.5,764.5,1,66,Wind blowing from the north,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,20.6,25,,,600-1000,,,16,13.9,Trace of precipitation,6,,,,
08.09.2018 05:00,21.7,762.5,763.4,-0.8,73,Wind blowing from the north-northeast,4,,,100%., ,,,,,,,300-600,,,16,16.7,Trace of precipitation,3,,,,
08.09.2018 02:00,22.2,763.3,764.2,-0.5,76,Wind blowing from the north-east,3,,,100%., ,,,21.7,25,,,300-600,,,16,17.8,Trace of precipitation,6,,,,
07.09.2018 23:00,22.2,763.8,764.6,0,79,Wind blowing from the north-east,4,,,100%., ,,,,,,,300-600,,,16,18.3,,,,,,
07.09.2018 20:00,22.2,763.8,764.6,0,76,Wind blowing from the east-northeast,5,,,100%., ,,,22.2,25,,,300-600,,,16,17.8,,,,,,
07.09.2018 17:00,23.3,763.8,764.7,-0.7,71,Wind blowing from the east-northeast,6,,,100%., ,,,,,,,600-1000,,,16,17.8,,,,,,
07.09.2018 14:00,23.9,764.5,765.5,-0.6,71,Wind blowing from the north-east,5,,,100%., ,,,23.3,25,,,300-600,,,16,18.3,,,,,,
07.09.2018 11:00,24.4,765.1,766,0.6,77,Wind blowing from the north-east,7,,,100%., ,,,,,,,300-600,,,16,20,,,,,,
07.09.2018 08:00,25,764.5,765.4,0.5,79,Wind blowing from the east-northeast,7,,,100%., ,,,24.4,,,,200-300,,,16,21.1,,,,,,
07.09.2018 05:00,24.4,764,765.1,0,85,Wind blowing from the east-northeast,5,,,70 – 80%., ,,,,,,,200-300,,,16,21.7,,,,,,
07.09.2018 02:00,25,764,765.1,-0.2,85,Wind blowing from the north-east,3,,,100%., ,,,24.4,27.8,,,1500-2000,,,16,22.2,,,,,,
06.09.2018 23:00,25,764.2,765.2,0.4,77,Wind blowing from the north-east,2,,,50%., ,,,,,,,2000-2500,,,16,20.6,,,,,,
06.09.2018 20:00,25,763.8,764.7,2,85,Wind blowing from the east,5,,,70 – 80%., ,,,24.4,35.6,,,1000-1500,,,16,22.2,6,6,,,,
06.09.2018 17:00,32.8,761.8,762.7,-0.7,56,Wind blowing from the south,6,,,70 – 80%.,"Thunderstorm, but no precipitation at the time of observation. ",,,,,,,1500-2000,,,16,22.8,,,,,,
06.09.2018 14:00,35.6,762.5,763.4,-1.7,43,Wind blowing from the south-west,5,,,50%., ,,,27.2,35.6,,,1500-2000,,,16,21.1,,,,,,
06.09.2018 11:00,31.7,764.2,765.1,-0.6,59,Wind blowing from the south,3,,,20–30%., ,,,,,,,600-1000,,,16,22.8,,,,,,
06.09.2018 08:00,27.8,764.8,765.7,0.3,77,Wind blowing from the south-west,3,,,50%., ,,,26.1,,,,300-600,,,16,23.3,,,,,,
06.09.2018 05:00,26.1,764.5,765.5,-0.6,82,Wind blowing from the south-southwest,4,,,50%., ,,,,,,,200-300,,,16,22.8,,,,,,
06.09.2018 02:00,26.7,765.1,766.1,-0.7,76,Wind blowing from the south-southwest,4,,,20–30%., ,,,26.1,27.8,,,"2500 or more, or no clouds.",,,16,22.2,,,,,,
05.09.2018 23:00,26.7,765.8,766.8,0.7,79,Wind blowing from the south,4,,,20–30%., ,,,,,,,"2500 or more, or no clouds.",,,16,22.8,,,,,,
05.09.2018 20:00,27.2,765.1,766,0,74,Wind blowing from the south,5,,,20–30%., ,,,26.1,32.8,,,"2500 or more, or no clouds.",,,16,22.2,,,,,,
05.09.2018 17:00,30.6,765.1,766,-0.7,59,Wind blowing from the south-southeast,7,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,21.7,,,,,,
05.09.2018 14:00,32.2,765.8,766.9,-1,52,Wind blowing from the south,5,,,50%., ,,,26.7,32.8,,,1000-1500,,,16,21.1,,,,,,
05.09.2018 11:00,30.6,766.8,767.9,0,59,Wind blowing from the south,2,,,20–30%., ,,,,,,,600-1000,,,16,21.7,,,,,,
05.09.2018 08:00,26.7,766.8,767.8,0.8,76,Wind blowing from the south-southeast,2,,,20–30%., ,,,26.1,33.9,,,"2500 or more, or no clouds.",,,16,22.2,,,,,,
05.09.2018 05:00,26.7,766,767.2,0,74,Wind blowing from the south-east,2,,,50%., ,,,,,,,1000-1500,,,16,21.7,,,,,,
05.09.2018 02:00,27.8,766,767,0,67,Wind blowing from the south-east,3,,,20–30%., ,,,26.7,32.2,,,1500-2000,,,16,21.1,,,,,,
04.09.2018 23:00,28.9,766,767.1,0.7,57,Wind blowing from the south,4,,,50%., ,,,,,,,1000-1500,,,16,19.4,,,,,,
04.09.2018 20:00,32.2,765.3,766.3,0.2,48,,3,,,70 – 80%., ,,,26.7,33.9,,,1500-2000,,,16,20,,,,,,
04.09.2018 17:00,33.3,765.1,766.1,-0.9,46,Wind blowing from the east-northeast,4,,,50%., ,,,,,,,1500-2000,,,16,20,,,,,,
04.09.2018 14:00,32.2,766,767.1,-0.8,47,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,27.8,33.3,,,1500-2000,,,16,19.4,,,,,,
04.09.2018 11:00,31.7,766.8,767.8,0.2,52,,3,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,16,20.6,,,,,,
04.09.2018 08:00,27.8,766.6,767.4,0.8,63,Wind blowing from the north-northeast,3,,,70 – 80%., ,,,26.7,33.9,,,"2500 or more, or no clouds.",,,16,20,,,,,,
04.09.2018 05:00,27.2,765.8,766.7,0,67,Wind blowing from the north-west,2,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,20.6,,,,,,
04.09.2018 02:00,28.3,765.8,766.7,0,67,Wind blowing from the north-west,4,,,50%., ,,,25,30.6,,,"2500 or more, or no clouds.",,,16,21.7,,,,,,
03.09.2018 23:00,30,765.8,766.8,0.3,70,Wind blowing from the south-southwest,4,,,50%., ,,,,,,,"2500 or more, or no clouds.",,,16,23.9,,,,,,
03.09.2018 20:00,29.4,765.5,766.6,0.2,68,Wind blowing from the south,4,,,70 – 80%., ,,,25,33.9,,,"2500 or more, or no clouds.",,,16,22.8,,,,,,
03.09.2018 17:00,31.1,765.3,766.2,-1,61,Wind blowing from the south,6,,,50%., ,,,,,,,1500-2000,,,16,22.8,,,,,,
03.09.2018 14:00,33.3,766.3,767.2,-1,49,,2,,,70 – 80%., ,,,25,33.9,,,1000-1500,,,16,21.1,,,,,,
03.09.2018 11:00,30,767.3,768.4,-0.2,63,Wind blowing from the west-southwest,3,,,20–30%., ,,,,,,,1000-1500,,,16,22.2,,,,,,
03.09.2018 08:00,26.1,767.5,768.6,0.4,79,Wind blowing from the north-west,2,,,50%., ,,,25,27.8,,,300-600,,,16,22.2,,,,,,
03.09.2018 05:00,25.6,767.1,767.9,0.3,82,,2,,,70 – 80%., ,,,,,,,200-300,,,16,22.2,,,,,,
03.09.2018 02:00,25,766.8,767.9,0,82,Wind blowing from the south-west,4,,,100%., ,,,21.1,25.6,,,300-600,,,16,21.7,,,,,,
02.09.2018 23:00,25.6,766.8,767.9,0.8,76,Wind blowing from the south-southwest,3,,,50%., ,,,,,,,1500-2000,,,16,21.1,,,,,,
02.09.2018 20:00,25,766,767.1,-0.3,77,Wind blowing from the south,5,,,50%., ,,,21.1,27.8,,,300-600,,,16,20.6,,,,,,
02.09.2018 17:00,27.2,766.3,767.2,-0.5,62,Wind blowing from the south-southeast,4,7,,50%., ,,,,,,,600-1000,,,16,19.4,,,,,,
02.09.2018 14:00,26.7,766.8,767.8,-0.7,62,Wind blowing from the south,5,,,70 – 80%., ,,,22.8,27.8,,,600-1000,,,16,18.9,,,,,,
02.09.2018 11:00,26.7,767.5,768.7,-0.6,56,"Calm, no wind",0,,,70 – 80%., ,,,,,,,600-1000,,,16,17.2,,,,,,
02.09.2018 08:00,22.8,768.1,769,1,76,Wind blowing from the south-southeast,2,,,70 – 80%., ,,,21.1,,,,600-1000,,,12,18.3,,,,,,
02.09.2018 05:00,21.7,767.1,768.1,-0.4,79,Wind blowing from the east,2,,,50%., ,,,,,,,300-600,,,16,17.8,,,,,,
02.09.2018 02:00,22.2,767.5,768.5,-0.6,73,Wind blowing from the south,2,,,50%., ,,,21.1,23.3,,,300-600,,,16,17.2,,,,,,
01.09.2018 23:00,22.2,768.1,769,0.8,73,Wind blowing from the south,3,,,50%., ,,,,,,,2000-2500,,,16,17.2,,,,,,
01.09.2018 20:00,23.3,767.3,768.4,-0.5,64,Wind blowing from the south-southeast,5,,,70 – 80%., ,,,21.1,26.1,,,2000-2500,,,16,16.1,,,,,,
01.09.2018 17:00,25,767.8,768.9,-1,62,Wind blowing from the east-northeast,5,,,70 – 80%., ,,,,,,,1500-2000,,,16,17.2,,,,,,
01.09.2018 14:00,25,768.8,769.8,-0.3,58,Wind blowing from the south-east,3,,,70 – 80%., ,,,21.1,25.6,,,600-1000,,,16,16.1,,,,,,
01.09.2018 11:00,23.3,769.1,770.2,0.3,60,Wind blowing from the north-east,4,,,70 – 80%., ,,,,,,,600-1000,,,16,15,,,,,,
01.09.2018 08:00,21.1,768.8,769.9,0.4,71,Wind blowing from the east,5,,,70 – 80%., ,,,21.1,26.1,,,600-1000,,,16,15.6,,,,,,
01.09.2018 05:00,21.7,768.4,769.3,0.3,71,Wind blowing from the east,4,,,100%., ,,,,,,,600-1000,,,16,16.1,,,,,,
01.09.2018 02:00,22.2,768.1,769.1,0,68,Wind blowing from the east-southeast,5,,,100%., ,,,22.2,25,,,600-1000,,,16,16.1,,,,,,
31.08.2018 23:00,22.8,768.1,769.1,0.6,69,Wind blowing from the east,5,,,100%., ,,,,,,,600-1000,,,16,16.7,,,,,,
31.08.2018 20:00,23.3,767.5,768.5,0,64,Wind blowing from the east-southeast,5,,,70 – 80%., ,,,23.3,25,,,600-1000,,,16,16.1,0.5,6,,,,
31.08.2018 17:00,23.9,767.5,768.6,0,66,Wind blowing from the east-southeast,5,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,600-1000,,,16,17.2,Trace of precipitation,3,,,,
